date,close,volume,open,high,low
2009-11-06,-11.25,249920.0,-8.25,-8.25,-11.33
2009-11-09,-10.59,93948.0,-11.07,-10.04,-11.07
2009-11-10,-10.99,62521.0,-10.38,-10.25,-11.05
2009-11-11,-9.96,72614.0,-11.18,-8.95,-11.18
2009-11-12,-9.74,40548.0,-9.99,-9.29,-10.04
2009-11-13,-9.35,41087.0,-9.81,-8.95,-9.89
2009-11-16,-8.13,50456.0,-8.87,-8.1,-9.2
2009-11-17,-8.34,33785.0,-8.04,-8.02,-8.75
2009-11-18,-8.25,22009.0,-8.35,-8.0,-8.64
2009-11-19,-7.92,31682.0,-8.25,-7.68,-8.36
2009-11-20,-6.13,35577.0,-7.92,-5.33,-8.15
2009-11-23,-5.22,29908.0,-6.13,-5.11,-6.17
2009-11-24,-6.29,44895.0,-5.29,-4.77,-6.52
2009-11-25,-3.55,51561.0,-6.01,-3.17,-6.17
2009-11-26,-5.01,44914.0,-3.54,-2.9,-5.12
2009-11-27,-4.68,35149.0,-5.62,-4.08,-5.81
2009-11-30,-3.16,34456.0,-4.24,-2.74,-4.88
2009-12-01,-3.13,26809.0,-3.22,-2.65,-3.58
2009-12-02,-2.65,23724.0,-3.07,-2.59,-3.48
2009-12-03,-2.33,24424.0,-2.63,-1.19,-2.87
2009-12-04,-3.82,45041.0,-2.71,-2.22,-4.97
2009-12-07,-3.38,18610.0,-3.19,-2.8,-3.63
2009-12-08,-4.06,16477.0,-3.32,-3.23,-4.68
2009-12-09,-4.47,10661.0,-4.23,-3.94,-4.62
2009-12-10,-3.73,10918.0,-4.3,-3.64,-4.3
2009-12-11,-4.26,10772.0,-3.67,-3.41,-4.38
2009-12-14,-3.73,14287.0,-4.36,-3.46,-4.42
2009-12-15,-3.93,8133.0,-3.7,-3.59,-4.12
2009-12-16,-5.22,23461.0,-4.08,-3.95,-5.39
2009-12-17,-6.65,16330.0,-5.27,-5.25,-6.77
2009-12-18,-6.62,13938.0,-7.29,-6.08,-7.59
2009-12-22,-5.72,22785.0,-5.93,-5.1,-6.29
2009-12-23,-4.92,20427.0,-5.69,-4.68,-5.69
2009-12-24,-3.64,22043.0,-5.01,-3.59,-5.06
2009-12-28,-3.7,12552.0,-4.02,-3.36,-4.29
2009-12-29,-3.79,7444.0,-3.69,-3.49,-4.14
2009-12-30,-3.91,9276.0,-3.9,-3.65,-4.26
2009-12-31,-3.49,9019.0,-3.78,-3.19,-3.99
2010-01-04,-3.64,7671.0,-3.15,-3.15,-3.82
2010-01-05,-3.41,8418.0,-3.78,-3.23,-3.79
2010-01-06,-4.58,10692.0,-3.52,-3.34,-4.65
