date,close,volume,open,high,low
2018-05-08,8.39,297.0,6.19,8.39,6.19
2018-05-09,9.71,207.0,9.71,9.71,9.71
2018-05-10,11.17,85.0,11.17,11.17,11.17
2018-05-11,12.77,552.0,12.77,12.77,12.77
2018-05-14,14.53,737.0,14.53,14.53,14.53
2018-05-15,16.46,897.0,16.46,16.46,16.46
2018-05-16,18.59,989.0,18.59,18.59,18.59
2018-05-17,20.93,1966.0,20.93,20.93,20.93
2018-05-18,23.51,3116.0,23.51,23.51,23.51
2018-05-21,26.35,1762.0,26.35,26.35,26.35
2018-05-22,29.46,2591.0,29.46,29.46,29.46
2018-05-23,32.89,2689.0,32.89,32.89,32.89
2018-05-24,36.67,5902.0,36.67,36.67,36.67
2018-05-25,40.82,25358.0,40.82,40.82,40.82
2018-05-28,45.38,21135.0,45.38,45.38,45.38
2018-05-29,50.4,41961.0,50.4,50.4,50.4
2018-05-30,46.35,725236.0,52.61,52.81,45.89
2018-05-31,50.31,427385.0,47.97,51.44,44.5
2018-06-01,51.66,326307.0,48.79,52.51,48.1
2018-06-04,46.57,362272.0,53.16,54.21,46.01
2018-06-05,46.1,267636.0,45.34,46.92,43.63
2018-06-06,47.92,259137.0,45.38,48.08,44.94
2018-06-07,45.78,186329.0,47.46,47.72,45.7
2018-06-08,45.53,178946.0,44.95,46.8,44.49
2018-06-11,41.14,250197.0,44.39,44.76,40.66
2018-06-12,41.85,173996.0,41.77,42.49,40.29
2018-06-13,41.08,168103.0,41.3,42.7,40.54
2018-06-14,37.8,241912.0,39.81,41.35,37.38
2018-06-15,37.91,154044.0,37.97,38.72,37.29
2018-06-19,37.24,178358.0,36.73,38.69,35.81
2018-06-20,38.11,173887.0,37.6,38.61,36.05
2018-06-21,34.03,224052.0,38.03,38.32,33.81
2018-06-22,33.39,157085.0,32.86,34.35,32.31
2018-06-25,34.72,174288.0,33.48,35.73,33.26
2018-06-26,35.86,147897.0,33.98,35.98,33.65
2018-06-27,34.82,102352.0,35.56,35.88,34.53
2018-06-28,31.87,120071.0,34.71,35.42,31.78
2018-06-29,35.54,129485.0,32.02,35.54,31.87
2018-07-02,36.16,166473.0,35.52,37.85,35.13
2018-07-03,36.05,132998.0,36.53,37.43,34.15
2018-07-04,33.42,117856.0,35.56,35.56,33.05
2018-07-05,33.41,98545.0,33.01,34.4,32.58
2018-07-06,35.94,198307.0,33.36,37.23,33.35
2018-07-09,37.12,145616.0,36.43,37.35,35.35
